hash_par_vitima_suspeito,data_da_denuncia,denunciante,relacao_demandante_vitima,canal_de_atendimento,pais_de_origem_da_vitima,uf,estado,municipio,cenario_da_violacao,grupo_vulneravel,genero_da_vitima,idade_vitima,grau_instrucao_da_vitima,faixa_de_renda_da_vitima,raca_cor_da_vitima,deficiencia_vitima,genero_do_suspeito,idade_suspeito,grau_instrucao_do_suspeito,faixa_de_renda_do_suspeito,raca_cor_do_suspeito,deficiencia_suspeito,relacao_suspeito_x_vitima,denuncia_emergencial,nacionalidade_da_vitima,nacionalidade_do_suspeito,pais_de_origem_do_suspeito,etnia_da_vitima,etnia_do_suspeito,violacoes,motivacoes,agravantes,orientacao_sexual
F2FF9B9CCFE310132067DBFB1AB148C8753D1CDC727C5A272587DC71853F3957,02/05/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,RJ,Rio de Janeiro,Rio de Janeiro,INSTITUIÇÃO DE LONGA PERMANÊNCIA - IDOSOS,Violência Contra Pessoa Idosa,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA,N/D,N/D,N/D,N/D,N/D,violencia_fisica.EXPOSIÇÃO DE RISCO À SAÚDE;violencia_fisica.INSUBSISTÊNCIA MATERIAL;violencia_fisica.MAUS TRATOS;violencia_psicologica.CONSTRANGIMENTO;violencia_psicologica.EXPOSIÇÃO,Motivação.EM RAZÃO DE CONFLITO DE IDEIAS;Motivação.EM RAZÃO DA IDADE,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
7B01407463AEA3E2E94B80F3CD5872104B7833F946B7E58F2C9FBB0EA60B73F5,23/04/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,RR,Roraima,Boa Vista,CASA VÍTIMA,Violência Contra Criança ou Adolescente,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,PAI/ MÃE,SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA,N/D,N/D,BRASIL,N/D,N/D,violencia_fisica.INSUBSISTÊNCIA MATERIAL;violencia_psicologica.CONSTRANGIMENTO;violencia_agressao_direito_liberdade.AUTONOMIA DE VONTADE;violencia_agressao_liberdade_civil.PROPRIEDADE - PATRIMÔNIO MATERIAL;violencia_violacoes_gerais.VIOLÊNCIA PATRIMONIAL,Motivação.EM RAZÃO DE BENEFÍCIO FINANCEIRO/GANÂNCIA,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
97D7E8E0F6BAEBF5AEDE07FD980BB4F5153618905F843B03816755786FE257AC,02/02/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SP,São Paulo,São Paulo,CASA VÍTIMA,Violência Contra Criança ou Adolescente,MASCULINO,05 a 09 anos,ENSINO FUNDAMENTAL INCOMPLETO,N/D,BRANCA,NÃO,FEMININO,50 a 54 anos,N/D,N/D,BRANCA,NÃO,TIO(A),NÃO,BRASILEIRO(A),BRASILEIRO(A),BRASIL,N/D,N/D,violencia_fisica.MAUS TRATOS;violencia_psicologica.CONSTRANGIMENTO;violencia_psicologica.EXPOSIÇÃO,,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
502E960F194B66C410EEE377C3E4CB94D59FFA47631EEB2817CEBEB9E25DA152,28/02/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,MG,Minas Gerais,Alto Rio Doce,CASA VÍTIMA,Violência Contra Pessoa Idosa,MASCULINO,80 anos ou mais,N/D,N/D,BRANCA,SIM,MASCULINO,50 a 54 anos,N/D,N/D,BRANCA,NÃO,FILHO(A),NÃO,BRASILEIRO(A),N/D,BRASIL,N/D,N/D,violencia_fisica.MAUS TRATOS;violencia_fisica.EXPOSIÇÃO DE RISCO À SAÚDE;violencia_psicologica.INSUBSISTÊNCIA AFETIVA;violencia_psicologica.EXPOSIÇÃO,Motivação.EM RAZÃO DE BENEFÍCIO FINANCEIRO/GANÂNCIA,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
2FAC23A9192DC5B4BB0433D1A4305C54F6EDE05B77C4523D7A78B757C1051702,21/05/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,,MG,Minas Gerais,Contagem,CASA VÍTIMA,Violência Contra Pessoa Idosa,MASCULINO,65 a 69 anos,N/D,ATÉ 1 SALÁRIO MÍNIMO,PARDA,SIM,N/D,N/D,N/D,N/D,N/D,N/D,FILHO(A),NÃO,N/D,N/D,N/D,N/D,N/D,violencia_fisica.MAUS TRATOS;violencia_fisica.INSUBSISTÊNCIA MATERIAL;violencia_violacoes_gerais.VIOLÊNCIA PATRIMONIAL,Motivação.EM RAZÃO DA IDADE;Motivação.EM RAZÃO DE BENEFÍCIO FINANCEIRO/GANÂNCIA,"Agravantes.AGRESSOR CÔNJUGE, CONVIVENTE, ASCENDENTE, DESCENDENTE OU PARENTE;Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
D7FD52AF3F1B105215F19DDFA421F93D4A77B53AEA26054177A239ECF4C0FF1B,01/05/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,MG,Minas Gerais,Belo Horizonte,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,Violência Contra Pessoa com Deficiência,MASCULINO,35 a 39 anos,N/D,1 A 3 SALÁRIOS MÍNIMOS,BRANCA,SIM,MASCULINO,65 a 69 anos,N/D,N/D,BRANCA,N/D,IRMÃO(Ã),NÃO,BRASILEIRO(A),BRASILEIRO(A),N/D,N/D,N/D,violencia_fisica.MAUS TRATOS;violencia_fisica.INSUBSISTÊNCIA MATERIAL;violencia_psicologica.EXPOSIÇÃO;violencia_psicologica.INSUBSISTÊNCIA AFETIVA;violencia_psicologica.CONSTRANGIMENTO;violencia_agressao_direito_liberdade.FALTA DE ACESSIBILIDADE;violencia_violacoes_gerais.CRIMES CONTRA A SEGURANÇA FÍSICA;violencia_violacoes_gerais.VIOLÊNCIA PATRIMONIAL,Motivação.EM RAZÃO DA ORIGEM;Motivação.EM RAZÃO DE BENEFÍCIO FINANCEIRO/GANÂNCIA,"Agravantes.AGRESSOR CÔNJUGE, CONVIVENTE, ASCENDENTE, DESCENDENTE OU PARENTE;Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
BDB69B3BD28B1B9CC134645290A7DF0916C132D9C6B01F1395A99C694D09B96D,15/01/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SP,São Paulo,Embu-Guaçu,CASA DE FAMILIAR,Violência Contra Criança ou Adolescente,FEMININO,02 a 04 anos,N/D,N/D,N/D,N/D,FEMININO,20 a 24 anos,N/D,N/D,N/D,N/D,PAI/ MÃE,RISCO IMINENTE DE MORTE DA VÍTIMA,N/D,N/D,BRASIL,N/D,N/D,violencia_fisica.MAUS TRATOS;violencia_fisica.EXPOSIÇÃO DE RISCO À SAÚDE;violencia_psicologica.EXPOSIÇÃO,Motivação.EM RAZÃO DE CONDIÇÕES FÍSICAS;Motivação.EM RAZÃO DA IDADE,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
D249E8409A85E1130C48EBAF93340F29635948930BF4061D6EC2BA613780A7F6,01/05/2020 00:00,ANÔNIMO,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SP,São Paulo,Jacareí,CASA VÍTIMA,Violência Contra Pessoa Idosa,FEMININO,80 anos ou mais,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,FILHO(A),NÃO,N/D,N/D,N/D,N/D,N/D,violencia_fisica.EXPOSIÇÃO DE RISCO À SAÚDE;violencia_fisica.MAUS TRATOS;violencia_fisica.SITUAÇÃO DE RUA/ ABANDONO MATERIAL;violencia_psicologica.CONSTRANGIMENTO;violencia_psicologica.EXPOSIÇÃO;violencia_psicologica.INSUBSISTÊNCIA AFETIVA,Motivação.EM RAZÃO DA IDADE,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL;Agravantes.AGRESSOR CÔNJUGE, CONVIVENTE, ASCENDENTE, DESCENDENTE OU PARENTE",
9F29DEB3E2E909BE9C208D8A402DDEF4855E103AB11930C343E79B92ADE2AE80,19/04/2020 00:00,A PRÓPRIA VÍTIMA,N/D,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,SP,São Paulo,São Paulo,VIA PÚBLICA,Violência Contra Pessoa em Situação de Rua,MASCULINO,50 a 54 anos,ENSINO MÉDIO COMPLETO,N/D,BRANCA,NÃO,MASCULINO,35 a 39 anos,N/D,N/D,BRANCA,NÃO,SEM RELAÇÃO,NÃO,BRASILEIRO(A),BRASILEIRO(A),BRASIL,N/D,N/D,violencia_psicologica.EXPOSIÇÃO;violencia_psicologica.TORTURA PSÍQUICA;violencia_psicologica.CONSTRANGIMENTO;violencia_psicologica.AMEAÇA/COAÇÃO;violencia_violacoes_gerais.CRIMES CONTRA A SEGURANÇA FÍSICA;violencia_violacoes_gerais.CRIMES CONTRA A SEGURANÇA PSÍQUICA,Motivação.EM RAZÃO DE CONFLITO DE IDEIAS,Agravantes.AGRESSOR POLICIAL/MILITAR;agravantes_policiais.POLICIAL CIVIL,
9BD86BE17C77D05034464B651502985F55E92AE36D295254A0AE450ECBF5C47D,24/03/2020 00:00,TERCEIRO,PAI/ MÃE,DENÚNCIA - ATENDIMENTO TELEFÔNICO,BRASIL,RJ,Rio de Janeiro,Belford Roxo,CASA DO SUSPEITO,Violência Contra Criança ou Adolescente,FEMININO,00 a 1 ano,N/D,N/D,BRANCA,N/D,FEMININO,20 a 24 anos,N/D,N/D,PRETA,N/D,CUIDADOR(A),NÃO,BRASILEIRO(A),N/D,BRASIL,N/D,N/D,violencia_psicologica.INSUBSISTÊNCIA AFETIVA,Motivação.EM RAZÃO DE CONFLITO DE IDEIAS,"Agravantes.VÍTIMA IDOSA, CRIANÇA, DEFICIENTE OU MINORIA ÉTNICA OU SOCIAL",
